Latitude (decimal degrees):	54.251
Longitude (decimal degrees):	-1.437
Elevation (m):	28
Radiation database:	PVGIS-SARAH3


Slope: 35 deg. 
Azimuth: 0 deg. 
Nominal power of the PV system (c-Si) (kWp):	2500.0
System losses (%):	14.0
time,P,G(i),H_sun,T2m,WS10m,Int
20050101:0011,0.0,0.0,0.0,6.52,4.41,0.0
20050101:0111,0.0,0.0,0.0,6.29,4.21,0.0
20050101:0211,0.0,0.0,0.0,5.98,4.14,0.0
20050101:0311,0.0,0.0,0.0,5.95,4.34,0.0
20050101:0411,0.0,0.0,0.0,6.05,4.48,0.0
20050101:0511,0.0,0.0,0.0,6.49,4.41,0.0
20050101:0611,0.0,0.0,0.0,6.86,4.34,0.0
20050101:0711,0.0,0.0,0.0,7.31,4.69,0.0
20050101:0811,0.0,0.0,0.0,7.57,5.03,0.0
20050101:0911,26425.0,23.89,3.8,7.71,5.45,0.0
20050101:1011,112500.0,67.21,8.67,7.97,5.72,0.0
20050101:1111,247700.0,128.82,11.74,8.31,5.79,0.0
20050101:1211,79625.0,51.92,12.74,8.51,6.14,0.0
20050101:1311,235200.0,123.54,11.59,8.6,6.9,0.0
20050101:1411,23450.0,22.25,8.4,8.94,8.0,0.0
20050101:1511,0.0,4.64,3.42,9.39,8.21,0.0
20050101:1611,0.0,0.0,0.0,9.37,9.38,0.0
20050101:1711,0.0,0.0,0.0,8.26,11.17,0.0
20050101:1811,0.0,0.0,0.0,6.08,8.41,0.0
20050101:1911,0.0,0.0,0.0,5.33,8.07,0.0
20050101:2011,0.0,0.0,0.0,4.66,8.55,0.0
20050101:2111,0.0,0.0,0.0,4.2,8.55,0.0
20050101:2211,0.0,0.0,0.0,3.91,8.41,0.0
20050101:2311,0.0,0.0,0.0,3.54,8.07,0.0
20050102:0011,0.0,0.0,0.0,3.77,7.93,0.0
20050102:0111,0.0,0.0,0.0,3.72,7.86,0.0
20050102:0211,0.0,0.0,0.0,3.5,7.72,0.0
20050102:0311,0.0,0.0,0.0,3.38,7.52,0.0
20050102:0411,0.0,0.0,0.0,3.31,7.66,0.0
20050102:0511,0.0,0.0,0.0,3.34,7.31,0.0
20050102:0611,0.0,0.0,0.0,3.37,7.1,0.0
