Latitude (decimal degrees):	54.251
Longitude (decimal degrees):	-1.437
Elevation (m):	28
Radiation database:	PVGIS-SARAH3


Slope: 35 deg. 
Azimuth: 0 deg. 
Nominal power of the PV system (c-Si) (kWp):	2700.0
System losses (%):	14.0
time,P,G(i),H_sun,T2m,WS10m,Int
20230101:0011,0.0,0.0,0.0,8.38,3.86,0.0
20230101:0111,0.0,0.0,0.0,8.46,4.55,0.0
20230101:0211,0.0,0.0,0.0,8.21,5.03,0.0
20230101:0311,0.0,0.0,0.0,7.9,5.79,0.0
20230101:0411,0.0,0.0,0.0,7.64,6.55,0.0
20230101:0511,0.0,0.0,0.0,7.57,6.48,0.0
20230101:0611,0.0,0.0,0.0,7.59,6.55,0.0
20230101:0711,0.0,0.0,0.0,6.99,5.86,0.0
20230101:0811,0.0,0.0,0.0,6.79,5.93,0.0
20230101:0911,108729.0,61.78,3.8,6.77,6.0,0.0
20230101:1011,350136.0,162.1,8.67,7.57,6.21,0.0
20230101:1111,1291869.0,549.9,11.74,8.1,6.34,0.0
20230101:1211,1382103.0,588.89,12.74,8.55,6.55,0.0
20230101:1311,1263357.0,539.72,11.59,8.89,6.34,0.0
20230101:1411,811485.0,351.59,8.4,8.83,6.34,0.0
20230101:1511,67041.0,43.16,3.42,8.32,5.24,0.0
20230101:1611,0.0,0.0,0.0,7.52,4.55,0.0
20230101:1711,0.0,0.0,0.0,6.81,4.21,0.0
20230101:1811,0.0,0.0,0.0,6.37,4.34,0.0
20230101:1911,0.0,0.0,0.0,6.93,4.0,0.0
20230101:2011,0.0,0.0,0.0,6.81,3.66,0.0
20230101:2111,0.0,0.0,0.0,6.42,3.24,0.0
20230101:2211,0.0,0.0,0.0,6.22,3.03,0.0
20230101:2311,0.0,0.0,0.0,6.24,2.69,0.0
20230102:0011,0.0,0.0,0.0,6.45,2.62,0.0
20230102:0111,0.0,0.0,0.0,6.24,2.62,0.0
20230102:0211,0.0,0.0,0.0,5.72,2.55,0.0
20230102:0311,0.0,0.0,0.0,5.17,2.62,0.0
20230102:0411,0.0,0.0,0.0,4.96,2.9,0.0
20230102:0511,0.0,0.0,0.0,4.83,2.97,0.0
20230102:0611,0.0,0.0,0.0,3.99,2.62,0.0
20230102:0711,0.0,0.0,0.0,3.34,3.1,0.0
20230102:0811,0.0,0.0,0.0,2.33,2.83,0.0
20230102:0911,306909.0,143.28,3.84,1.44,2.62,0.0
20230102:1011,1036584.0,438.36,8.72,1.83,2.48,0.0
20230102:1111,1302129.0,553.05,11.8,3.13,2.48,0.0
20230102:1211,1304343.0,553.79,12.83,4.14,3.1,0.0
20230102:1311,1246131.0,530.01,11.7,4.67,3.17,0.0
20230102:1411,672597.0,291.54,8.52,4.83,3.24,0.0
20230102:1511,149148.0,79.02,3.54,4.38,2.69,0.0
20230102:1611,0.0,0.0,0.0,3.17,2.41,0.0
20230102:1711,0.0,0.0,0.0,1.99,2.21,0.0
20230102:1811,0.0,0.0,0.0,0.71,2.21,0.0
20230102:1911,0.0,0.0,0.0,-0.14,2.34,0.0
20230102:2011,0.0,0.0,0.0,-0.78,2.34,0.0
20230102:2111,0.0,0.0,0.0,-1.33,2.28,0.0
20230102:2211,0.0,0.0,0.0,-1.81,2.34,0.0
20230102:2311,0.0,0.0,0.0,-2.05,2.48,0.0
20230103:0011,0.0,0.0,0.0,-1.99,2.62,0.0
20230103:0111,0.0,0.0,0.0,-1.64,2.76,0.0
20230103:0211,0.0,0.0,0.0,-1.12,3.03,0.0
20230103:0311,0.0,0.0,0.0,-0.8,3.38,0.0
20230103:0411,0.0,0.0,0.0,-0.38,3.66,0.0
20230103:0511,0.0,0.0,0.0,0.21,4.21,0.0
20230103:0611,0.0,0.0,0.0,0.69,4.62,0.0
20230103:0711,0.0,0.0,0.0,0.88,4.97,0.0
20230103:0811,0.0,0.0,0.0,1.72,5.45,0.0
20230103:0911,32589.0,25.6,3.88,3.03,5.93,0.0
20230103:1011,113346.0,63.02,8.78,4.75,6.14,0.0
20230103:1111,110862.0,62.48,11.88,6.18,6.07,0.0
20230103:1211,789696.0,339.79,12.92,7.38,5.72,0.0
20230103:1311,217026.0,108.16,11.8,8.35,5.52,0.0
20230103:1411,58212.0,38.94,8.64,8.75,5.45,0.0
20230103:1511,4239.0,9.27,3.67,8.72,5.03,0.0
20230103:1611,0.0,0.0,0.0,8.43,5.38,0.0
20230103:1711,0.0,0.0,0.0,8.91,5.79,0.0
20230103:1811,0.0,0.0,0.0,9.71,6.0,0.0
20230103:1911,0.0,0.0,0.0,10.2,6.48,0.0
20230103:2011,0.0,0.0,0.0,10.38,6.34,0.0
20230103:2111,0.0,0.0,0.0,10.61,6.0,0.0
20230103:2211,0.0,0.0,0.0,10.96,6.28,0.0
20230103:2311,0.0,0.0,0.0,11.33,7.24,0.0
20230104:0011,0.0,0.0,0.0,11.52,7.86,0.0
20230104:0111,0.0,0.0,0.0,11.72,8.28,0.0
20230104:0211,0.0,0.0,0.0,11.9,8.21,0.0
20230104:0311,0.0,0.0,0.0,11.52,8.14,0.0
20230104:0411,0.0,0.0,0.0,11.31,8.62,0.0
20230104:0511,0.0,0.0,0.0,11.16,8.97,0.0
20230104:0611,0.0,0.0,0.0,10.64,9.03,0.0
20230104:0711,0.0,0.0,0.0,10.39,9.03,0.0
20230104:0811,0.0,0.0,0.0,10.13,9.17,0.0
20230104:0911,381105.0,178.46,3.93,10.0,9.24,0.0
20230104:1011,874908.0,377.72,8.85,10.08,9.17,0.0
